"";"Group";"Level";"Pop"
"1";"Total";"Total";9857593
"2";"Region";"Alentejo";166726
"3";"Region";"Algarve";451006
"4";"Region";"Centro";1480664
"5";"Region";"LVT";3659871
"6";"Region";"Norte";3125804
"7";"Gender";"Feminine";5169608
"8";"Gender";"Masculine";4687985
"9";"Group";"[0,5)";415549
"10";"Group";"[5,10)";422628
"11";"Group";"[10,15)";475629
"12";"Group";"[15,20)";506433
"13";"Group";"[20,25)";531810
"14";"Group";"[25,30)";515282
"15";"Group";"[30,35)";533250
"16";"Group";"[35,40)";615083
"17";"Group";"[40,45)";724463
"18";"Group";"[45,50)";763202
"19";"Group";"[50,55)";708709
"20";"Group";"[55,60)";706171
"21";"Group";"[60,65)";655391
"22";"Group";"[65,70)";602210
"23";"Group";"[70,75)";536388
"24";"Group";"[75,80)";428706
"25";"Group";"[80,150)";661224
