"";"Group";"Region";"Entries";"Perc"
"1";"[0,5)";"Alentejo";2;0,0078125
"2";"[5,10)";"Alentejo";0;0
"3";"[10,15)";"Alentejo";0;0
"4";"[15,20)";"Alentejo";0;0
"5";"[20,25)";"Alentejo";0;0
"6";"[25,30)";"Alentejo";2;0,0078125
"7";"[30,35)";"Alentejo";3;0,01171875
"8";"[35,40)";"Alentejo";5;0,01953125
"9";"[40,45)";"Alentejo";9;0,03515625
"10";"[45,50)";"Alentejo";7;0,02734375
"11";"[50,55)";"Alentejo";25;0,09765625
"12";"[55,60)";"Alentejo";23;0,08984375
"13";"[60,65)";"Alentejo";41;0,16015625
"14";"[65,70)";"Alentejo";56;0,21875
"15";"[70,75)";"Alentejo";43;0,16796875
"16";"[75,80)";"Alentejo";16;0,0625
"17";"[80,150)";"Alentejo";24;0,09375
"18";"[0,5)";"Algarve";1;0,00411522633744856
"19";"[5,10)";"Algarve";0;0
"20";"[10,15)";"Algarve";0;0
"21";"[15,20)";"Algarve";0;0
"22";"[20,25)";"Algarve";2;0,00823045267489712
"23";"[25,30)";"Algarve";1;0,00411522633744856
"24";"[30,35)";"Algarve";1;0,00411522633744856
"25";"[35,40)";"Algarve";5;0,0205761316872428
"26";"[40,45)";"Algarve";11;0,0452674897119342
"27";"[45,50)";"Algarve";11;0,0452674897119342
"28";"[50,55)";"Algarve";20;0,0823045267489712
"29";"[55,60)";"Algarve";38;0,156378600823045
"30";"[60,65)";"Algarve";22;0,0905349794238683
"31";"[65,70)";"Algarve";45;0,185185185185185
"32";"[70,75)";"Algarve";34;0,139917695473251
"33";"[75,80)";"Algarve";36;0,148148148148148
"34";"[80,150)";"Algarve";16;0,065843621399177
"35";"[0,5)";"Centro";2;0,00333889816360601
"36";"[5,10)";"Centro";0;0
"37";"[10,15)";"Centro";0;0
"38";"[15,20)";"Centro";1;0,00166944908180301
"39";"[20,25)";"Centro";2;0,00333889816360601
"40";"[25,30)";"Centro";5;0,00834724540901502
"41";"[30,35)";"Centro";5;0,00834724540901502
"42";"[35,40)";"Centro";4;0,00667779632721202
"43";"[40,45)";"Centro";24;0,0400667779632721
"44";"[45,50)";"Centro";35;0,0584307178631052
"45";"[50,55)";"Centro";40;0,0667779632721202
"46";"[55,60)";"Centro";64;0,106844741235392
"47";"[60,65)";"Centro";87;0,145242070116861
"48";"[65,70)";"Centro";94;0,156928213689482
"49";"[70,75)";"Centro";110;0,183639398998331
"50";"[75,80)";"Centro";66;0,110183639398998
"51";"[80,150)";"Centro";60;0,10016694490818
"52";"[0,5)";"LVT";15;0,00623441396508728
"53";"[5,10)";"LVT";4;0,00166251039068994
"54";"[10,15)";"LVT";11;0,00457190357439734
"55";"[15,20)";"LVT";4;0,00166251039068994
"56";"[20,25)";"LVT";7;0,0029093931837074
"57";"[25,30)";"LVT";19;0,00789692435577722
"58";"[30,35)";"LVT";43;0,0178719866999169
"59";"[35,40)";"LVT";63;0,0261845386533666
"60";"[40,45)";"LVT";95;0,0394846217788861
"61";"[45,50)";"LVT";138;0,057356608478803
"62";"[50,55)";"LVT";176;0,0731504571903574
"63";"[55,60)";"LVT";242;0,100581878636741
"64";"[60,65)";"LVT";354;0,14713216957606
"65";"[65,70)";"LVT";384;0,159600997506234
"66";"[70,75)";"LVT";304;0,126350789692436
"67";"[75,80)";"LVT";289;0,120116375727348
"68";"[80,150)";"LVT";258;0,107231920199501
"69";"[0,5)";"Norte";7;0,00283630470016207
"70";"[5,10)";"Norte";1;0,000405186385737439
"71";"[10,15)";"Norte";4;0,00162074554294976
"72";"[15,20)";"Norte";7;0,00283630470016207
"73";"[20,25)";"Norte";14;0,00567260940032415
"74";"[25,30)";"Norte";16;0,00648298217179903
"75";"[30,35)";"Norte";24;0,00972447325769854
"76";"[35,40)";"Norte";45;0,0182333873581848
"77";"[40,45)";"Norte";78;0,0316045380875203
"78";"[45,50)";"Norte";135;0,0547001620745543
"79";"[50,55)";"Norte";185;0,0749594813614263
"80";"[55,60)";"Norte";273;0,110615883306321
"81";"[60,65)";"Norte";350;0,141815235008104
"82";"[65,70)";"Norte";423;0,171393841166937
"83";"[70,75)";"Norte";411;0,166531604538088
"84";"[75,80)";"Norte";289;0,11709886547812
"85";"[80,150)";"Norte";206;0,0834683954619125
