"";"Group";"Type";"Entries";"Perc"
"1";"[0,5)";"ICU";27;0,00452109845947756
"2";"[5,10)";"ICU";5;0,000837240455458808
"3";"[10,15)";"ICU";15;0,00251172136637642
"4";"[15,20)";"ICU";12;0,00200937709310114
"5";"[20,25)";"ICU";25;0,00418620227729404
"6";"[25,30)";"ICU";43;0,00720026791694575
"7";"[30,35)";"ICU";76;0,0127260549229739
"8";"[35,40)";"ICU";122;0,0204286671131949
"9";"[40,45)";"ICU";217;0,0363362357669123
"10";"[45,50)";"ICU";326;0,0545880776959143
"11";"[50,55)";"ICU";446;0,0746818486269257
"12";"[55,60)";"ICU";640;0,107166778298727
"13";"[60,65)";"ICU";854;0,143000669792364
"14";"[65,70)";"ICU";1002;0,167782987273945
"15";"[70,75)";"ICU";902;0,151038178164769
"16";"[75,80)";"ICU";696;0,116543871399866
"17";"[80,150)";"ICU";564;0,0944407233757535
"18";"[0,5)";"nonICU";346;0,0071028267608236
"19";"[5,10)";"nonICU";97;0,00199125490115575
"20";"[10,15)";"nonICU";114;0,00234023771888408
"21";"[15,20)";"nonICU";231;0,00474206064089668
"22";"[20,25)";"nonICU";471;0,00966887689117895
"23";"[25,30)";"nonICU";734;0,0150678463654466
"24";"[30,35)";"nonICU";861;0,0176749532978876
"25";"[35,40)";"nonICU";985;0,0202204750272001
"26";"[40,45)";"nonICU";1301;0,0267074497567384
"27";"[45,50)";"nonICU";1725;0,0354114917989038
"28";"[50,55)";"nonICU";2125;0,0436228522160409
"29";"[55,60)";"nonICU";2809;0,0576642785293454
"30";"[60,65)";"nonICU";3497;0,0717878184468212
"31";"[65,70)";"nonICU";4142;0,0850286371194548
"32";"[70,75)";"nonICU";4711;0,0967092973128323
"33";"[75,80)";"nonICU";5595;0,114856403834705
"34";"[80,150)";"nonICU";18969;0,389403239381685
