"";"Entry.month";"Region";"Entries";"Perc"
"1";"2020-03";"Alentejo";13;0,00662589194699286
"2";"2020-04";"Alentejo";18;0,00917431192660551
"3";"2020-05";"Alentejo";3;0,00152905198776758
"4";"2020-06";"Alentejo";25;0,0127420998980632
"5";"2020-07";"Alentejo";29;0,0147808358817533
"6";"2020-08";"Alentejo";17;0,00866462793068298
"7";"2020-09";"Alentejo";46;0,0234454638124363
"8";"2020-10";"Alentejo";116;0,0591233435270133
"9";"2020-11";"Alentejo";199;0,101427115188583
"10";"2020-12";"Alentejo";319;0,162589194699286
"11";"2021-01";"Alentejo";798;0,406727828746177
"12";"2021-02";"Alentejo";341;0,173802242609582
"13";"2021-03";"Alentejo";38;0,0193679918450561
"14";"2020-03";"Algarve";51;0,0356145251396648
"15";"2020-04";"Algarve";34;0,0237430167597765
"16";"2020-05";"Algarve";17;0,0118715083798883
"17";"2020-06";"Algarve";15;0,0104748603351955
"18";"2020-07";"Algarve";19;0,013268156424581
"19";"2020-08";"Algarve";14;0,00977653631284916
"20";"2020-09";"Algarve";32;0,0223463687150838
"21";"2020-10";"Algarve";76;0,053072625698324
"22";"2020-11";"Algarve";125;0,0872905027932961
"23";"2020-12";"Algarve";150;0,104748603351955
"24";"2021-01";"Algarve";615;0,429469273743017
"25";"2021-02";"Algarve";235;0,164106145251397
"26";"2021-03";"Algarve";49;0,0342178770949721
"27";"2020-03";"Centro";276;0,0333333333333333
"28";"2020-04";"Centro";361;0,0435990338164251
"29";"2020-05";"Centro";68;0,00821256038647343
"30";"2020-06";"Centro";45;0,00543478260869565
"31";"2020-07";"Centro";57;0,00688405797101449
"32";"2020-08";"Centro";42;0,00507246376811594
"33";"2020-09";"Centro";147;0,0177536231884058
"34";"2020-10";"Centro";420;0,0507246376811594
"35";"2020-11";"Centro";1292;0,156038647342995
"36";"2020-12";"Centro";1477;0,178381642512077
"37";"2021-01";"Centro";2725;0,329106280193237
"38";"2021-02";"Centro";1196;0,144444444444444
"39";"2021-03";"Centro";174;0,0210144927536232
"40";"2020-03";"LVT";526;0,0238765320018157
"41";"2020-04";"LVT";707;0,0320926009986382
"42";"2020-05";"LVT";776;0,0352246935996369
"43";"2020-06";"LVT";998;0,045301861098502
"44";"2020-07";"LVT";768;0,0348615524285066
"45";"2020-08";"LVT";513;0,023286427598729
"46";"2020-09";"LVT";912;0,0413980935088516
"47";"2020-10";"LVT";1587;0,0720381298229687
"48";"2020-11";"LVT";2542;0,115388107126645
"49";"2020-12";"LVT";2883;0,130866999546074
"50";"2021-01";"LVT";5819;0,264139809350885
"51";"2021-02";"LVT";3368;0,152882433045847
"52";"2021-03";"LVT";631;0,0286427598729006
"53";"2020-03";"Norte";1138;0,0542395500691101
"54";"2020-04";"Norte";1585;0,0755445402983652
"55";"2020-05";"Norte";324;0,0154425432534198
"56";"2020-06";"Norte";100;0,00476621705352462
"57";"2020-07";"Norte";95;0,00452790620084839
"58";"2020-08";"Norte";167;0,00795958247938611
"59";"2020-09";"Norte";459;0,021876936275678
"60";"2020-10";"Norte";2219;0,105762356417711
"61";"2020-11";"Norte";4557;0,217196511129117
"62";"2020-12";"Norte";3497;0,166674610361756
"63";"2021-01";"Norte";4752;0,22649063438349
"64";"2021-02";"Norte";1709;0,0814546494447357
"65";"2021-03";"Norte";379;0,0180639626328583
